"Embassy","Year","Month","Full MRN of last cable of that month","Day of last cable","MRN number","Days into the year","Per day that year","Actual number of cables that month","Trafficking cables this year"
"Buenosaires",2005,12,"05BUENOSAIRES3179",30,3179,364,8.733516484,4,
"Buenosaires",2006,1,"06BUENOSAIRES228",30,228,30,7.6,45,10
"Buenosaires",2006,2,"06BUENOSAIRES477",28,477,59,8.084745763,46,
"Buenosaires",2006,3,"06BUENOSAIRES748",31,748,90,8.311111111,56,
"Buenosaires",2006,4,"06BUENOSAIRES966",28,966,118,8.186440678,39,
"Buenosaires",2006,5,"06BUENOSAIRES1216",31,1216,151,8.052980132,44,
"Buenosaires",2006,6,"06BUENOSAIRES1476",30,1476,181,8.154696133,39,
"Buenosaires",2006,7,"06BUENOSAIRES1698",31,1698,212,8.009433962,38,
"Buenosaires",2006,8,"06BUENOSAIRES1970",31,1970,243,8.106995885,42,
"Buenosaires",2006,9,"06BUENOSAIRES2229",29,2229,272,8.194852941,39,
"Buenosaires",2006,10,"06BUENOSAIRES2451",31,2451,304,8.0625,30,
"Buenosaires",2006,11,"06BUENOSAIRES2669",30,2669,334,7.991017964,43,
"Buenosaires",2006,12,"06BUENOSAIRES2847",29,2847,363,7.842975207,38,
"Buenosaires",2007,1,"07BUENOSAIRES187",31,187,31,6.032258065,47,59
"Buenosaires",2007,2,"07BUENOSAIRES385",28,385,59,6.525423729,41,
"Buenosaires",2007,3,"07BUENOSAIRES621",30,621,89,6.97752809,47,
"Buenosaires",2007,4,"07BUENOSAIRES844",30,844,120,7.033333333,48,
"Buenosaires",2007,5,"07BUENOSAIRES1071",31,1071,151,7.092715232,54,
"Buenosaires",2007,6,"07BUENOSAIRES1266",29,1266,180,7.033333333,40,
"Buenosaires",2007,7,"07BUENOSAIRES1477",31,1477,212,6.966981132,51,
"Buenosaires",2007,8,"07BUENOSAIRES1745",31,1745,243,7.181069959,56,
"Buenosaires",2007,9,"07BUENOSAIRES1952",28,1952,271,7.20295203,56,
"Buenosaires",2007,10,"07BUENOSAIRES2153",31,2153,304,7.082236842,64,
"Buenosaires",2007,11,"07BUENOSAIRES2272",30,2272,334,6.80239521,37,
"Buenosaires",2007,12,"07BUENOSAIRES2390",27,2390,361,6.620498615,43,
"Buenosaires",2008,1,"08BUENOSAIRES116",31,116,31,3.741935484,25,58
"Buenosaires",2008,2,"08BUENOSAIRES259",29,259,60,4.316666667,41,
"Buenosaires",2008,3,"08BUENOSAIRES398",31,398,90,4.422222222,41,
"Buenosaires",2008,4,"08BUENOSAIRES571",30,571,120,4.758333333,54,
"Buenosaires",2008,5,"08BUENOSAIRES754",30,754,150,5.026666667,63,
"Buenosaires",2008,6,"08BUENOSAIRES894",30,894,181,4.939226519,47,
"Buenosaires",2008,7,"08BUENOSAIRES1055",31,1055,212,4.976415094,35,
"Buenosaires",2008,8,"08BUENOSAIRES1220",29,1220,241,5.062240664,34,
"Buenosaires",2008,9,"08BUENOSAIRES1355",30,1355,273,4.963369963,44,
"Buenosaires",2008,10,"08BUENOSAIRES1497",30,1497,303,4.940594059,53,
"Buenosaires",2008,11,"08BUENOSAIRES1623",28,1623,332,4.888554217,32,
"Buenosaires",2008,12,"08BUENOSAIRES1764",30,1764,364,4.846153846,47,
"Buenosaires",2009,1,"09BUENOSAIRES102",30,102,30,3.4,28,53
"Buenosaires",2009,2,"09BUENOSAIRES211",27,211,58,3.637931034,38,
"Buenosaires",2009,3,"09BUENOSAIRES376",31,376,90,4.177777778,55,
"Buenosaires",2009,4,"09BUENOSAIRES501",30,501,120,4.175,54,
"Buenosaires",2009,5,"09BUENOSAIRES634",29,634,149,4.255033557,48,
"Buenosaires",2009,6,"09BUENOSAIRES757",30,757,181,4.182320442,44,
"Buenosaires",2009,7,"09BUENOSAIRES876",29,876,210,4.171428571,44,
"Buenosaires",2009,8,"09BUENOSAIRES988",31,988,243,4.065843621,32,
"Buenosaires",2009,9,"09BUENOSAIRES1084",30,1084,273,3.970695971,32,
"Buenosaires",2009,10,"09BUENOSAIRES1179",30,1179,303,3.891089109,35,
"Buenosaires",2009,11,"09BUENOSAIRES1302",30,1302,334,3.898203593,43,
"Buenosaires",2009,12,"09BUENOSAIRES1418",31,1418,365,3.884931507,27,
"Buenosaires",2010,1,"10BUENOSAIRES104",29,104,29,3.586206897,35,8
"Buenosaires",2010,2,"10BUENOSAIRES256",26,256,57,4.49122807,60,
"Bujumbura",2006,6,"06BUJUMBURA435",5,435,156,2.788461538,2,0
"Bujumbura",2006,7,"06BUJUMBURA607",18,607,199,3.050251256,1,
"Bujumbura",2007,2,"07BUJUMBURA94",14,94,45,2.088888889,9,2
"Bujumbura",2007,3,"07BUJUMBURA237",30,237,89,2.662921348,9,
"Bujumbura",2007,4,"07BUJUMBURA309",26,309,116,2.663793103,13,
"Bujumbura",2007,5,"07BUJUMBURA376",25,376,145,2.593103448,5,
"Bujumbura",2007,6,"07BUJUMBURA482",28,482,179,2.69273743,14,
"Bujumbura",2007,7,"07BUJUMBURA545",30,545,211,2.582938389,10,
"Bujumbura",2007,8,"07BUJUMBURA626",31,626,243,2.576131687,18,
"Bujumbura",2007,9,"07BUJUMBURA682",25,682,268,2.544776119,6,
"Bujumbura",2007,10,"07BUJUMBURA759",30,759,303,2.504950495,6,
"Bujumbura",2007,11,"07BUJUMBURA802",27,802,331,2.422960725,4,
"Bujumbura",2007,12,"07BUJUMBURA806",3,806,337,2.391691395,1,
"Bujumbura",2008,4,"08BUJUMBURA183",8,183,98,1.867346939,3,0
"Bujumbura",2008,5,"08BUJUMBURA271",21,271,141,1.921985816,6,
"Bujumbura",2008,6,"08BUJUMBURA336",27,336,178,1.887640449,3,
"Bujumbura",2008,7,"08BUJUMBURA396",31,396,212,1.867924528,2,
"Bujumbura",2008,8,"08BUJUMBURA421",20,421,232,1.814655172,1,
"Bujumbura",2008,11,"08BUJUMBURA587",24,587,328,1.789634146,7,
"Bujumbura",2008,12,"08BUJUMBURA678",30,678,364,1.862637363,5,
"Bujumbura",2009,1,"09BUJUMBURA17",13,17,13,1.307692308,1,2
"Bujumbura",2009,2,"09BUJUMBURA84",19,84,50,1.68,4,
"Bujumbura",2009,3,"09BUJUMBURA162",27,162,86,1.88372093,2,
"Bujumbura",2009,4,"09BUJUMBURA196",17,196,107,1.831775701,2,
"Bujumbura",2009,5,"09BUJUMBURA223",6,223,126,1.76984127,2,
"Bujumbura",2009,6,"09BUJUMBURA301",30,301,181,1.662983425,4,
"Bujumbura",2009,7,"09BUJUMBURA356",27,356,208,1.711538462,7,
"Bujumbura",2009,8,"09BUJUMBURA446",31,446,243,1.835390947,9,
"Bujumbura",2009,9,"09BUJUMBURA523",29,523,272,1.922794118,6,
"Bujumbura",2009,10,"09BUJUMBURA587",28,587,301,1.950166113,6,
"Bujumbura",2009,11,"09BUJUMBURA627",17,627,321,1.953271028,1,
"Bujumbura",2009,12,"09BUJUMBURA689",17,689,351,1.962962963,2,
"Bujumbura",2010,1,"10BUJUMBURA59",29,59,29,2.034482759,2,0
"Bujumbura",2010,2,"10BUJUMBURA112",25,112,56,2,3,
"Cairo",1985,3,"85CAIRO6360",8,6360,67,94.92537313,1,0
"Cairo",1985,4,"85CAIRO9867",11,9867,101,97.69306931,1,
"Cairo",1986,11,"86CAIRO26111",13,26111,317,82.36908517,2,0
"Cairo",1988,7,"88CAIRO17073",18,17073,199,85.79396985,1,0
"Cairo",1988,8,"88CAIRO19680",18,19680,230,85.56521739,1,
"Cairo",1988,9,"88CAIRO21161",6,21161,249,84.98393574,1,
"Cairo",1989,7,"89CAIRO16206",20,16206,201,80.62686567,1,0
"Cairo",1991,3,"91CAIRO5521",28,5521,87,63.45977011,1,0
"Cairo",1991,7,"91CAIRO12383",11,12383,192,64.49479167,1,
"Cairo",1996,12,"96CAIRO13851",31,13851,365,37.94794521,1,0
"Cairo",1997,11,"97CAIRO12034",13,12034,317,37.96214511,2,0
"Cairo",1999,3,"99CAIRO2104",16,2104,75,28.05333333,1,0
"Cairo",2001,5,"01CAIRO3303",31,3303,151,21.87417219,1,0
"Cairo",2001,6,"01CAIRO3757",21,3757,172,21.84302326,1,
"Cairo",2001,9,"01CAIRO5770",19,5770,262,22.02290076,2,
"Cairo",2001,10,"01CAIRO6321",4,6321,277,22.81949458,1,
"Cairo",2001,12,"01CAIRO7997",10,7997,344,23.24709302,1,
"Cairo",2004,11,"04CAIRO8456",18,8456,322,26.26086957,1,0
"Cairo",2005,2,"05CAIRO761",1,761,32,23.78125,1,3
"Cairo",2005,3,"05CAIRO2536",31,2536,90,28.17777778,25,
"Cairo",2005,4,"05CAIRO3183",30,3183,120,26.525,59,
"Cairo",2005,5,"05CAIRO4061",31,4061,151,26.89403974,48,
"Cairo",2005,6,"05CAIRO4997",30,4997,181,27.60773481,67,
"Cairo",2005,7,"05CAIRO5860",31,5860,212,27.64150943,56,
"Cairo",2005,8,"05CAIRO6711",31,6711,243,27.61728395,47,
"Cairo",2005,9,"05CAIRO7552",30,7552,273,27.66300366,55,
"Cairo",2005,10,"05CAIRO8334",31,8334,304,27.41447368,55,
"Cairo",2005,11,"05CAIRO8938",29,8938,333,26.84084084,55,
"Cairo",2005,12,"05CAIRO9583",29,9583,363,26.39944904,57,
"Cairo",2006,1,"06CAIRO565",30,565,30,18.83333333,43,14
"Cairo",2006,2,"06CAIRO1272",28,1272,59,21.55932203,48,
"Cairo",2006,3,"06CAIRO1925",29,1925,88,21.875,41,
"Cairo",2006,4,"06CAIRO2526",30,2526,120,21.05,36,
"Cairo",2006,5,"06CAIRO3293",31,3293,151,21.80794702,44,
"Cairo",2006,6,"06CAIRO4034",29,4034,180,22.41111111,47,
"Cairo",2006,7,"06CAIRO4680",31,4680,212,22.0754717,39,
"Cairo",2006,8,"06CAIRO5461",31,5461,243,22.47325103,49,
"Cairo",2006,9,"06CAIRO6106",28,6106,271,22.53136531,28,
"Cairo",2006,10,"06CAIRO6595",31,6595,304,21.69407895,38,
"Cairo",2006,11,"06CAIRO7012",29,7012,333,21.05705706,54,
"Cairo",2006,12,"06CAIRO7260",28,7260,362,20.05524862,38,
"Cairo",2007,1,"07CAIRO258",30,258,30,8.6,27,19
"Cairo",2007,2,"07CAIRO542",28,542,59,9.186440678,29,
"Cairo",2007,3,"07CAIRO924",29,924,88,10.5,38,
"Cairo",2007,4,"07CAIRO1276",30,1276,120,10.63333333,24,
"Cairo",2007,5,"07CAIRO1641",31,1641,151,10.86754967,50,
"Cairo",2007,6,"07CAIRO1981",28,1981,179,11.06703911,44,
"Cairo",2007,7,"07CAIRO2350",31,2350,212,11.08490566,46,
"Cairo",2007,8,"07CAIRO2692",30,2692,242,11.12396694,40,
"Cairo",2007,9,"07CAIRO2904",26,2904,269,10.79553903,44,
"Cairo",2007,10,"07CAIRO3176",31,3176,304,10.44736842,44,
"Cairo",2007,11,"07CAIRO3367",29,3367,333,10.11111111,43,
"Cairo",2007,12,"07CAIRO3563",31,3563,365,9.761643836,48,
"Cairo",2008,1,"08CAIRO171",31,171,31,5.516129032,48,14
"Cairo",2008,2,"08CAIRO410",28,410,59,6.949152542,39,
"Cairo",2008,3,"08CAIRO641",31,641,90,7.122222222,53,
"Cairo",2008,4,"08CAIRO902",30,902,120,7.516666667,57,
"Cairo",2008,5,"08CAIRO1102",29,1102,149,7.395973154,46,
"Cairo",2008,6,"08CAIRO1359",30,1359,181,7.508287293,57,
"Cairo",2008,7,"08CAIRO1651",31,1651,212,7.787735849,43,
"Cairo",2008,8,"08CAIRO1922",28,1922,240,8.008333333,22,
"Cairo",2008,9,"08CAIRO2135",30,2135,273,7.820512821,34,
"Cairo",2008,10,"08CAIRO2280",30,2280,303,7.524752475,31,
"Cairo",2008,11,"08CAIRO2438",30,2438,334,7.299401198,37,
"Cairo",2008,12,"09CAIRO2",31,2,365,0.005479452,50,
"Cairo",2009,1,"09CAIRO159",29,159,29,5.482758621,44,33
"Cairo",2009,2,"09CAIRO358",26,358,57,6.280701754,59,
"Cairo",2009,3,"09CAIRO550",31,550,90,6.111111111,52,
"Cairo",2009,4,"09CAIRO748",30,748,120,6.233333333,57,
"Cairo",2009,5,"09CAIRO986",31,986,151,6.529801325,53,
"Cairo",2009,6,"09CAIRO1227",30,1227,181,6.779005525,51,
"Cairo",2009,7,"09CAIRO1468",30,1468,211,6.957345972,57,
"Cairo",2009,8,"09CAIRO1691",30,1691,242,6.987603306,31,
"Cairo",2009,9,"09CAIRO1874",30,1874,273,6.864468864,44,
"Cairo",2009,10,"09CAIRO2066",29,2066,302,6.841059603,48,
"Cairo",2009,11,"09CAIRO2214",30,2214,334,6.628742515,40,
"Cairo",2009,12,"09CAIRO2404",30,2404,364,6.604395604,67,
"Cairo",2010,1,"10CAIRO147",31,147,31,4.741935484,47,8
"Cairo",2010,2,"10CAIRO384",28,384,59,6.508474576,57,
"Calcutta",2004,10,"04CALCUTTA428",29,428,302,1.417218543,2,2
"Calcutta",2006,12,"06CALCUTTA578",29,578,363,1.592286501,52,3
"Canberra",2005,2,"05CANBERRA374",28,374,59,6.338983051,14,1
"Canberra",2005,3,"05CANBERRA576",23,576,82,7.024390244,8,
"Canberra",2005,4,"05CANBERRA749",28,749,118,6.347457627,6,
"Canberra",2005,5,"05CANBERRA898",26,898,146,6.150684932,13,
"Canberra",2005,6,"05CANBERRA1129",30,1129,181,6.237569061,5,
"Canberra",2005,7,"05CANBERRA1270",28,1270,209,6.076555024,5,
"Canberra",2005,8,"05CANBERRA1471",31,1471,243,6.053497942,13,
"Canberra",2006,4,"06CANBERRA577",19,577,109,5.293577982,1,0
"Canberra",2006,5,"06CANBERRA814",31,814,151,5.390728477,2,
"Canberra",2006,6,"06CANBERRA952",22,952,173,5.502890173,4,
"Canberra",2006,7,"06CANBERRA1161",31,1161,212,5.476415094,2,
"Canberra",2006,8,"06CANBERRA1311",28,1311,240,5.4625,6,
"Canberra",2006,9,"06CANBERRA1517",26,1517,269,5.639405204,6,
"Canberra",2006,10,"06CANBERRA1628",15,1628,288,5.652777778,3,
"Canberra",2006,11,"06CANBERRA1804",9,1804,313,5.763578275,1,
"Canberra",2006,12,"06CANBERRA2044",28,2044,362,5.64640884,4,
"Canberra",2007,2,"07CANBERRA293",21,293,52,5.634615385,2,2
"Canberra",2007,3,"07CANBERRA472",28,472,87,5.425287356,4,
"Canberra",2007,4,"07CANBERRA609",20,609,110,5.536363636,4,
"Canberra",2007,7,"07CANBERRA1021",5,1021,186,5.489247312,2,
"Canberra",2007,10,"07CANBERRA1593",31,1593,304,5.240131579,12,
"Canberra",2007,11,"07CANBERRA1697",29,1697,333,5.096096096,17,
"Canberra",2007,12,"07CANBERRA1799",31,1799,365,4.928767123,20,
"Canberra",2008,2,"08CANBERRA209",29,209,60,3.483333333,22,2
"Canberra",2008,3,"08CANBERRA310",28,310,87,3.563218391,25,
"Canberra",2008,4,"08CANBERRA439",30,439,120,3.658333333,14,
"Canberra",2008,5,"08CANBERRA558",30,558,150,3.72,30,
"Canberra",2008,6,"08CANBERRA653",30,653,181,3.607734807,22,
"Canberra",2008,7,"08CANBERRA773",31,773,212,3.646226415,30,
"Canberra",2008,8,"08CANBERRA846",26,846,238,3.554621849,9,
"Canberra",2008,9,"08CANBERRA998",30,998,273,3.655677656,28,
"Canberra",2008,10,"08CANBERRA1107",31,1107,304,3.641447368,31,
"Canberra",2008,11,"08CANBERRA1199",30,1199,334,3.589820359,30,
"Canberra",2008,12,"08CANBERRA1336",31,1336,365,3.660273973,50,
"Canberra",2009,1,"09CANBERRA106",30,106,30,3.533333333,35,9
"Canberra",2009,2,"09CANBERRA203",27,203,58,3.5,48,
"Canberra",2009,3,"09CANBERRA329",31,329,90,3.655555556,63,
"Canberra",2009,4,"09CANBERRA428",30,428,120,3.566666667,53,
"Canberra",2009,5,"09CANBERRA503",29,503,149,3.375838926,31,
"Canberra",2009,6,"09CANBERRA603",30,603,181,3.331491713,56,
"Canberra",2009,7,"09CANBERRA700",31,700,212,3.301886792,42,
"Canberra",2009,8,"09CANBERRA802",31,802,243,3.300411523,38,
"Canberra",2009,9,"09CANBERRA901",30,901,273,3.3003663,46,
"Canberra",2009,10,"09CANBERRA977",30,977,303,3.224422442,36,
"Canberra",2009,11,"09CANBERRA1060",30,1060,334,3.173652695,40,
"Canberra",2009,12,"09CANBERRA1124",23,1124,357,3.148459384,24,
"Canberra",2010,1,"10CANBERRA73",29,73,29,2.517241379,33,1
"Canberra",2010,2,"10CANBERRA142",26,142,57,2.49122807,30,
"Capetown",1990,1,"90CAPETOWN97",17,97,17,5.705882353,1,0
"Capetown",1990,3,"90CAPETOWN623",16,623,75,8.306666667,1,
"Capetown",2008,12,"08CAPETOWN258",31,258,365,0.706849315,50,0
"Capetown",2009,5,"09CAPETOWN129",29,129,149,0.865771812,42,1
"Capetown",2009,6,"09CAPETOWN152",29,152,180,0.844444444,28,
"Capetown",2009,7,"09CAPETOWN169",31,169,212,0.797169811,26,
"Caracas",1988,2,"88CARACAS1552",17,1552,48,32.33333333,1,0
"Caracas",1994,4,"94CARACAS2731",6,2731,96,28.44791667,1,0
"Caracas",1994,12,"94CARACAS10003",19,10003,353,28.33711048,1,
"Caracas",1998,2,"98CARACAS539",25,539,56,9.625,1,1
"Caracas",1998,9,"98CARACAS2912",25,2912,268,10.86567164,1,
"Caracas",1998,10,"98CARACAS3241",27,3241,300,10.80333333,1,
"Caracas",1998,12,"98CARACAS3816",23,3816,357,10.68907563,3,
"Caracas",1999,1,"99CARACAS25",6,25,6,4.166666667,1,0
"Caracas",1999,2,"99CARACAS404",9,404,40,10.1,2,
"Caracas",1999,3,"99CARACAS811",16,811,75,10.81333333,2,
"Caracas",1999,4,"99CARACAS1305",28,1305,118,11.05932203,1,
"Caracas",1999,7,"99CARACAS2123",7,2123,188,11.29255319,1,
"Caracas",1999,11,"99CARACAS3882",22,3882,326,11.90797546,1,
"Caracas",2001,1,"01CARACAS182",22,182,22,8.272727273,1,0
"Caracas",2003,8,"03CARACAS2865",22,2865,234,12.24358974,1,0
"Caracas",2004,1,"04CARACAS338",30,338,30,11.26666667,20,13
"Caracas",2004,2,"04CARACAS651",26,651,57,11.42105263,30,
"Caracas",2004,3,"04CARACAS1116",31,1116,90,12.4,40,
"Caracas",2004,4,"04CARACAS1476",30,1476,120,12.3,33,
"Caracas",2004,5,"04CARACAS1839",28,1839,148,12.42567568,36,
"Caracas",2004,6,"04CARACAS2130",30,2130,181,11.7679558,39,
"Caracas",2004,7,"04CARACAS2432",30,2432,211,11.52606635,29,
"Caracas",2004,8,"04CARACAS2759",30,2759,242,11.40082645,61,
"Caracas",2004,9,"04CARACAS3070",30,3070,273,11.24542125,18,
"Caracas",2004,10,"04CARACAS3369",29,3369,302,11.15562914,28,
"Caracas",2004,11,"04CARACAS3686",29,3686,333,11.06906907,26,
"Caracas",2004,12,"04CARACAS3979",30,3979,364,10.93131868,30,
"Caracas",2005,1,"05CARACAS324",31,324,31,10.4516129,29,6
"Caracas",2005,2,"05CARACAS624",28,624,59,10.57627119,21,
"Caracas",2005,3,"05CARACAS925",31,925,90,10.27777778,37,
"Caracas",2005,4,"05CARACAS1298",29,1298,119,10.90756303,22,
"Caracas",2005,5,"05CARACAS1635",31,1635,151,10.82781457,18,
"Caracas",2005,6,"05CARACAS1983",30,1983,181,10.9558011,24,
"Caracas",2005,7,"05CARACAS2286",29,2286,210,10.88571429,12,
"Caracas",2005,8,"05CARACAS2406",8,2406,220,10.93636364,8,
"Caracas",2005,9,"05CARACAS2944",30,2944,273,10.78388278,4,
"Caracas",2005,10,"05CARACAS3113",19,3113,292,10.6609589,2,
"Caracas",2005,11,"05CARACAS3594",30,3594,334,10.76047904,5,
"Caracas",2005,12,"05CARACAS3879",30,3879,364,10.65659341,6,
"Caracas",2006,1,"06CARACAS237",31,237,31,7.64516129,18,16
"Caracas",2006,2,"06CARACAS523",24,523,55,9.509090909,41,
"Caracas",2006,3,"06CARACAS882",31,882,90,9.8,52,
"Caracas",2006,4,"06CARACAS1104",26,1104,116,9.517241379,24,
"Caracas",2006,5,"06CARACAS1544",25,1544,145,10.64827586,34,
"Caracas",2006,6,"06CARACAS1997",30,1997,181,11.03314917,41,
"Caracas",2006,8,"06CARACAS2626",30,2626,242,10.85123967,38,
"Caracas",2006,9,"06CARACAS2991",29,2991,272,10.99632353,33,
"Caracas",2006,10,"06CARACAS3259",31,3259,304,10.72039474,26,
"Caracas",2006,11,"06CARACAS3507",30,3507,334,10.5,43,
"Caracas",2006,12,"06CARACAS3688",27,3688,361,10.21606648,32,
"Caracas",2007,1,"07CARACAS215",31,215,31,6.935483871,47,8
"Caracas",2007,2,"07CARACAS423",28,423,59,7.169491525,33,
"Caracas",2007,3,"07CARACAS669",30,669,89,7.516853933,43,
"Caracas",2007,4,"07CARACAS843",30,843,120,7.025,27,
"Caracas",2007,5,"07CARACAS1068",31,1068,151,7.072847682,29,
"Caracas",2007,6,"07CARACAS1306",28,1306,179,7.296089385,28,
"Caracas",2007,7,"07CARACAS1483",27,1483,208,7.129807692,21,
"Caracas",2007,8,"07CARACAS1727",30,1727,242,7.136363636,28,
"Caracas",2007,9,"07CARACAS1937",28,1937,271,7.147601476,24,
"Caracas",2007,10,"07CARACAS2104",31,2104,304,6.921052632,29,
"Caracas",2007,11,"07CARACAS2270",30,2270,334,6.796407186,49,
"Caracas",2007,12,"07CARACAS2410",28,2410,362,6.657458564,34,
"Caracas",2008,1,"08CARACAS129",31,129,31,4.161290323,26,8
"Caracas",2008,2,"08CARACAS278",29,278,60,4.633333333,27,
"Caracas",2008,3,"08CARACAS437",28,437,87,5.022988506,45,
"Caracas",2008,4,"08CARACAS600",30,600,120,5,41,
"Caracas",2008,5,"08CARACAS752",30,752,150,5.013333333,34,
"Caracas",2008,6,"08CARACAS912",30,912,181,5.038674033,21,
"Caracas",2008,7,"08CARACAS1061",31,1061,212,5.004716981,26,
"Caracas",2008,8,"08CARACAS1217",28,1217,240,5.070833333,35,
"Caracas",2008,9,"08CARACAS1383",30,1383,273,5.065934066,46,
"Caracas",2008,10,"08CARACAS1518",31,1518,304,4.993421053,32,
"Caracas",2008,11,"08CARACAS1633",28,1633,332,4.918674699,36,
"Caracas",2008,12,"08CARACAS1784",29,1784,363,4.914600551,39,
"Caracas",2009,1,"09CARACAS128",30,128,30,4.266666667,27,10
"Caracas",2009,2,"09CARACAS258",27,258,58,4.448275862,38,
"Caracas",2009,3,"09CARACAS418",31,418,90,4.644444444,48,
"Caracas",2009,4,"09CARACAS548",30,548,120,4.566666667,33,
"Caracas",2009,5,"09CARACAS663",28,663,148,4.47972973,19,
"Caracas",2009,6,"09CARACAS809",29,809,180,4.494444444,37,
"Caracas",2009,7,"09CARACAS1005",31,1005,212,4.740566038,46,
"Caracas",2009,8,"09CARACAS1137",28,1137,240,4.7375,43,
"Caracas",2009,9,"09CARACAS1269",30,1269,273,4.648351648,36,
"Caracas",2009,10,"09CARACAS1392",30,1392,303,4.594059406,45,
"Caracas",2009,11,"09CARACAS1507",27,1507,331,4.552870091,38,
"Caracas",2009,12,"09CARACAS1609",31,1609,365,4.408219178,38,
"Caracas",2010,1,"10CARACAS119",29,119,29,4.103448276,48,3
"Caracas",2010,2,"10CARACAS241",26,241,57,4.228070175,42,
"Casablanca",2007,2,"07CASABLANCA37",27,37,58,0.637931034,38,7
"Casablanca",2007,6,"07CASABLANCA118",29,118,180,0.655555556,22,
"Casablanca",2008,1,"08CASABLANCA285",31,285,31,9.193548387,31,6
"Chengdu",2009,6,"09CHENGDU117",30,117,181,0.64640884,173,5
"Chengdu",2009,11,"09CHENGDU280",30,280,334,0.838323353,150,
"Chennai",2004,3,"04CHENNAI294",19,294,78,3.769230769,1,0
"Chennai",2007,1,"07CHENNAI77",31,77,31,2.483870968,40,5
"Chennai",2009,3,"09CHENNAI97",31,97,90,1.077777778,97,3
"Chiangmai",2006,3,"06CHIANGMAI60",31,60,90,0.666666667,93,0
"Chiangmai",2006,8,"06CHIANGMAI144",31,144,243,0.592592593,63,
"Chiangmai",2006,9,"06CHIANGMAI165",29,165,272,0.606617647,69,
"Chiangmai",2008,1,"08CHIANGMAI17",31,17,31,0.548387097,32,10
"Chiangmai",2008,9,"08CHIANGMAI145",29,145,272,0.533088235,43,
"Chiangmai",2009,4,"09CHIANGMAI61",30,61,120,0.508333333,46,8
"Chisinau",2007,10,"07CHISINAU1318",30,1318,303,4.349834983,8,3
"Chisinau",2007,11,"07CHISINAU1406",29,1406,333,4.222222222,16,
"Chisinau",2007,12,"07CHISINAU1520",28,1520,362,4.198895028,7,
"Chisinau",2008,1,"08CHISINAU90",30,90,30,3,11,22
"Chisinau",2008,2,"08CHISINAU214",29,214,60,3.566666667,19,
"Chisinau",2008,3,"08CHISINAU324",21,324,80,4.05,20,
"Chisinau",2008,4,"08CHISINAU457",30,457,120,3.808333333,20,
"Chisinau",2008,5,"08CHISINAU564",30,564,150,3.76,22,
"Chisinau",2008,6,"08CHISINAU677",27,677,178,3.803370787,14,
"Chisinau",2008,7,"08CHISINAU794",30,794,211,3.763033175,22,
"Chisinau",2008,8,"08CHISINAU872",29,872,241,3.618257261,12,
"Chisinau",2008,9,"08CHISINAU971",30,971,273,3.556776557,14,
"Chisinau",2008,10,"08CHISINAU1079",31,1079,304,3.549342105,15,
"Chisinau",2008,11,"08CHISINAU1160",28,1160,332,3.493975904,19,
"Chisinau",2008,12,"08CHISINAU1277",31,1277,365,3.498630137,12,
"Chisinau",2009,1,"09CHISINAU61",30,61,30,2.033333333,11,18
"Chisinau",2009,2,"09CHISINAU142",27,142,58,2.448275862,23,
"Chisinau",2009,3,"09CHISINAU227",25,227,84,2.702380952,5,
"Chisinau",2009,4,"09CHISINAU337",28,337,118,2.855932203,23,
"Chisinau",2009,5,"09CHISINAU397",29,397,149,2.66442953,10,
"Chisinau",2009,6,"09CHISINAU497",26,497,177,2.807909605,16,
"Chisinau",2009,7,"09CHISINAU595",31,595,212,2.806603774,17,
"Chisinau",2009,8,"09CHISINAU671",28,671,240,2.795833333,18,
"Chisinau",2009,9,"09CHISINAU750",30,750,273,2.747252747,14,
"Chisinau",2009,10,"09CHISINAU848",30,848,303,2.798679868,14,
"Chisinau",2009,11,"09CHISINAU900",25,900,329,2.73556231,9,
"Chisinau",2009,12,"09CHISINAU1012",31,1012,365,2.77260274,15,
"Chisinau",2010,1,"10CHISINAU52",29,52,29,1.793103448,11,3
"Chisinau",2010,2,"10CHISINAU83",16,83,47,1.765957447,8,
"Colombo",1986,11,"86COLOMBO8227",4,8227,308,26.71103896,1,0
"Colombo",1987,2,"87COLOMBO1041",12,1041,43,24.20930233,1,0
"Colombo",1987,7,"87COLOMBO4526",9,4526,190,23.82105263,1,
"Colombo",1988,4,"88COLOMBO2367",5,2367,95,24.91578947,1,0
"Colombo",1988,12,"88COLOMBO8559",9,8559,343,24.95335277,1,
"Colombo",1989,1,"89COLOMBO158",9,158,9,17.55555556,1,0
"Colombo",1989,4,"89COLOMBO2434",11,2434,101,24.0990099,1,
"Colombo",1990,11,"90COLOMBO7592",16,7592,320,23.725,1,0
"Colombo",1992,11,"92COLOMBO6961",17,6961,321,21.68535826,1,0
"Colombo",1994,2,"94COLOMBO954",24,954,55,17.34545455,1,0
"Colombo",1994,6,"94COLOMBO3119",17,3119,168,18.56547619,1,
"Colombo",1995,3,"95COLOMBO1476",15,1476,74,19.94594595,1,0
"Colombo",1995,11,"95COLOMBO6003",30,6003,334,17.97305389,1,
"Colombo",1997,2,"97COLOMBO673",21,673,52,12.94230769,1,0
"Colombo",1997,9,"97COLOMBO3548",12,3548,255,13.91372549,2,
"Colombo",1998,11,"98COLOMBO3592",6,3592,310,11.58709677,1,0
"Colombo",1999,9,"99COLOMBO2324",20,2324,263,8.836501901,1,0
